B.E.,Counts/sec,B.E. 2,Counts/s,B.E 3,Counts/sec,B.E. 4,Counts/sec,B.E. 5,Counts/sec
203.78,2288.52,203.518,2393.98,202.938,2988.953,203.673,2274.733,203.743,2292.267
203.68,2181.5,203.418,2404.227,202.838,3144.58,203.573,2360.927,203.643,2329.647
203.58,2559.513,203.318,2624.953,202.738,3462.293,203.473,2381.573,203.543,2242.5
203.48,2620.807,203.218,2392.58,202.638,3646.493,203.373,2536.18,203.443,2375.567
203.38,2612.187,203.118,2563.453,202.538,4526.46,203.273,2497.373,203.343,2488.987
203.28,2485.407,203.018,2917.06,202.438,4754.82,203.173,2641.6,203.243,2679.08
203.18,2532.713,202.918,3067.433,202.338,5183.947,203.073,2750.213,203.143,2599.533
203.08,2927.86,202.818,3337.36,202.238,5189.373,202.973,2704.14,203.043,2868.593
202.98,3064.007,202.718,3622.487,202.138,5109.1,202.873,3086.307,202.943,3007.4
202.88,3194.793,202.618,4087.033,202.038,4548.767,202.773,3443.8,202.843,3349.733
202.78,3421.48,202.518,4732.367,201.938,3383.4,202.673,3943.793,202.743,3795.04
202.68,4040.58,202.418,5213.9,201.838,2664.047,202.573,4341.773,202.643,4407.66
202.58,4579.513,202.318,5503.047,201.738,1980.173,202.473,5124.02,202.543,4812.9
202.48,5249.407,202.218,5609.327,201.638,1704.353,202.373,5496.4,202.443,5545.853
202.38,5342.62,202.118,5329.807,201.538,1750.073,202.273,6109.087,202.343,6118.287
202.28,5617.507,202.018,4574.687,201.438,1375.533,202.173,5628.653,202.243,6081.247
202.18,5622.04,201.918,3553.18,201.338,1337.793,202.073,5182.933,202.143,5790.267
202.08,5427.7,201.818,2505.7,201.238,1290.72,201.973,3981.62,202.043,5128.033
201.98,4372.213,201.718,2078.907,201.138,1438.473,201.873,3065.793,201.943,3879.967
201.88,3332.38,201.618,1763.38,201.038,1455.2,201.773,2166.387,201.843,2828.953
201.78,2308.187,201.518,1557.62,200.938,1441.3,201.673,1920.72,201.743,2055.18
201.68,1867.247,201.418,1580.553,200.838,1336.433,201.573,1619.393,201.643,1888.807
201.58,1653.587,201.318,1403.96,200.738,1313.2,201.473,1572.647,201.543,1632.793
201.48,1558.88,201.218,1571.473,200.638,1391.827,201.373,1533.28,201.443,1595.673
201.38,1469.54,201.118,1401.073,200.538,1353.84,201.273,1450.9,201.343,1396.593
201.28,1343.027,201.018,1410.933,200.438,1286.347,201.173,1450.973,201.243,1498.173
201.18,1366.687,200.918,1359.767,200.338,1260.933,201.073,1491.127,201.143,1360.2
201.08,1388.787,200.818,1362.893,200.238,1291.26,200.973,1247.333,201.043,1351.227
200.98,1508.34,200.718,1398.267,200.138,1410.94,200.873,1374.433,200.943,1342.687
200.88,1319.747,200.618,1373.38,200.038,1318.813,200.773,1303.553,200.843,1468.113
200.78,1363.867,200.518,1306.047,199.938,1346.74,200.673,1448.147,200.743,1341.773
200.68,1371.94,200.418,1364.253,199.838,1175.927,200.573,1393.053,200.643,1339.78
200.58,1339.527,200.318,1300.727,199.738,1450.16,200.473,1366.593,200.543,1292.247
200.48,1355.5,200.218,1349.04,199.638,1303.54,200.373,1410.347,200.443,1261.167
200.38,1357.193,200.118,1414.627,199.538,1227.9,200.273,1399.78,200.343,1354.707
200.28,1442.787,200.018,1444.9,199.438,1164.753,200.173,1399.073,200.243,1453.3
200.18,1369.1,199.918,1325.867,199.338,1229.66,200.073,1330.993,200.143,1444.207
200.08,1277.96,199.818,1268.78,199.238,1361.5,199.973,1444.28,200.043,1420.827
199.98,1254.94,199.718,1420.833,199.138,1294.067,199.873,1288.067,199.943,1431.193
199.88,1290.66,199.618,1423.833,199.038,1294.873,199.773,1301.747,199.843,1266.72
199.78,1364.627,199.518,1352.207,198.938,1225.593,199.673,1290.04,199.743,1332.893
199.68,1274.133,199.418,1412.973,198.838,1241.847,199.573,1421.1,199.643,1412.267
199.58,1320.94,199.318,1439.26,198.738,1275.633,199.473,1390.96,199.543,1321.987
199.48,1342.907,199.218,1268.8,198.638,1335.44,199.373,1425.953,199.443,1455.793
199.38,1269.68,199.118,1264.453,198.538,1222.647,199.273,1272.16,199.343,1331.693
199.28,1305.44,199.018,1417.8,198.438,1336.453,199.173,1373.687,199.243,1330.527
199.18,1333.747,198.918,1299.053,198.338,1260.967,199.073,1291.973,199.143,1448.34
199.08,1325.34,198.818,1364.507,198.238,1252.873,198.973,1400.213,199.043,1327.167
198.98,1355.793,198.718,1427.313,198.138,1239.413,198.873,1176.347,198.943,1274.353
198.88,1330.893,198.618,1410.107,198.038,1368.653,198.773,1259.527,198.843,1280.913
198.78,1330.8,198.518,1409.513,197.938,1338.593,198.673,1324.733,198.743,1289.147
198.68,1316.88,198.418,1295.06,197.838,1233,198.573,1277.373,198.643,1201.773
198.58,1385.927,198.318,1244.113,197.738,1281.953,198.473,1370.487,198.543,1271.947
198.48,1370.12,198.218,1264.94,197.638,1266.08,198.373,1404.753,198.443,1362.72
198.38,1226.28,198.118,1282.767,197.538,1198.273,198.273,1268.04,198.343,1319.94
198.28,1427.753,198.018,1388.947,197.438,1172.967,198.173,1310.62,198.243,1274.373
198.18,1282.227,197.918,1391.48,197.338,1284.22,198.073,1338.173,198.143,1318.147
198.08,1187.32,197.818,1234.307,197.238,1213.867,197.973,1286.007,198.043,1475.193
197.98,1386.22,197.718,1119.72,197.138,1383.773,197.873,1344.52,197.943,1360.5
197.88,1308.253,197.618,1401.313,197.038,1329.4,197.773,1359.72,197.843,1278.56
197.78,1220.293,197.518,1449.647,196.938,1264.867,197.673,1332.167,197.743,1410.82
197.68,1346.573,197.418,1384.867,196.838,1252.647,197.573,1358.107,197.643,1316.213
197.58,1327.187,197.318,1212.013,196.738,1284.487,197.473,1346.193,197.543,1336.54
197.48,1327.12,197.218,1318.807,196.638,1321.667,197.373,1451.947,197.443,1394.913
197.38,1224.313,197.118,1343.793,196.538,1239.113,197.273,1447.633,197.343,1389.073
197.28,1207.973,197.018,1435.307,196.438,1291.44,197.173,1473.007,197.243,1424.78
197.18,1143.213,196.918,1295.92,196.338,1314.953,197.073,1446.707,197.143,1318.453
197.08,1245.96,196.818,1307.667,196.238,1366.733,196.973,1333.347,197.043,1261.52
196.98,1158.453,196.718,1407.567,196.138,1325.193,196.873,1388.093,196.943,1338.767
